variable,lat,lon,month,nzi,enso,time
sst,25,235,aug,0,0.0,1
sst,25,235,july,0,0.0,0
sst,25,235,oct,0,0.0,3
sst,25,235,sept,0,0.0,2
sst,25,245,aug,0,0.0,1
sst,25,245,july,0,0.0,0
sst,25,245,oct,0,0.0,3
sst,25,245,sept,0,0.0,2
sst,25,255,aug,0,0.0,1
sst,25,255,july,0,0.0,0
sst,25,255,oct,0,0.0,3
sst,25,255,sept,0,0.0,2
sst,25,265,aug,0,0.0,1
sst,25,265,july,0,0.0,0
sst,25,265,oct,0,0.0,3
sst,25,265,sept,0,0.0,2
sst,25,275,aug,0,0.0,1
sst,25,275,july,0,0.0,0
sst,25,275,oct,0,0.0,3
sst,25,275,sept,0,0.0,2
sst,35,125,aug,0,0.0,1
sst,35,125,july,0,0.0,0
sst,35,125,oct,0,0.0,3
sst,35,125,sept,0,0.0,2
sst,35,135,aug,0,0.0,1
sst,35,135,july,0,0.0,0
sst,35,135,oct,0,0.0,3
sst,35,135,sept,0,0.0,2
sst,35,145,aug,0,0.0,1
sst,35,145,july,0,0.0,0
sst,35,145,oct,0,0.0,3
sst,35,145,sept,0,0.0,2
sst,35,155,aug,0,0.0,1
sst,35,155,july,0,0.0,0
sst,35,155,oct,0,0.0,3
sst,35,155,sept,0,0.0,2
sst,35,165,aug,0,0.0,1
sst,35,165,july,0,0.0,0
sst,35,165,oct,0,0.0,3
sst,35,165,sept,0,0.0,2
sst,35,175,aug,0,0.0,1
sst,35,175,july,0,0.0,0
sst,35,175,oct,0,0.0,3
sst,35,175,sept,0,0.0,2
sst,35,185,aug,0,0.0,1
sst,35,185,july,0,0.0,0
sst,35,185,oct,0,0.0,3
sst,35,185,sept,0,0.0,2
sst,35,195,aug,0,0.0,1
sst,35,195,july,0,0.0,0
sst,35,195,oct,0,0.0,3
sst,35,195,sept,0,0.0,2
sst,35,205,aug,0,0.0,1
sst,35,205,july,0,0.0,0
sst,35,205,oct,0,0.0,3
sst,35,205,sept,0,0.0,2
sst,35,215,aug,0,0.0,1
sst,35,215,july,0,0.0,0
sst,35,215,oct,0,0.0,3
sst,35,215,sept,0,0.0,2
sst,35,225,aug,0,0.0,1
sst,35,225,july,0,0.0,0
sst,35,225,oct,0,0.0,3
sst,35,225,sept,0,0.0,2
sst,35,235,aug,0,0.0,1
sst,35,235,july,0,0.0,0
